
============================================================
  Ablation run: J1_d16
  Config overrides: {'D': 16}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step   4000  ε=0.905  L_koop=0.2434  L_v=0.0001  L_recon=0.0261  succ/20=1  sps=84  Vd_max=1.000  Vd_μ=0.230
  step   6000  ε=0.858  L_koop=0.0480  L_v=0.0018  L_recon=0.0034  succ/20=1  sps=58  Vd_max=1.000  Vd_μ=0.310
  step   8000  ε=0.810  L_koop=0.0065  L_v=0.0002  L_recon=0.0007  succ/20=0  sps=50  Vd_max=1.000  Vd_μ=0.433
  step  10000  ε=0.762  L_koop=0.0012  L_v=0.0001  L_recon=0.0001  succ/20=0  sps=37  Vd_max=1.000  Vd_μ=0.522
  step  12000  ε=0.715  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=2  sps=45  Vd_max=1.028  Vd_μ=0.529
  step  14000  ε=0.667  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=1  sps=45  Vd_max=1.015  Vd_μ=0.535
  step  16000  ε=0.620  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=2  sps=41  Vd_max=1.014  Vd_μ=0.568
  step  18000  ε=0.573  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=5  sps=34  Vd_max=1.041  Vd_μ=0.629
  step  20000  ε=0.525  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=12  sps=38  Vd_max=1.043  Vd_μ=0.644
  step  22000  ε=0.478  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=19  sps=32  Vd_max=1.021  Vd_μ=0.673
  step  24000  ε=0.430  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=19  sps=47  Vd_max=1.052  Vd_μ=0.676
  step  26000  ε=0.382  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=20  sps=43  Vd_max=1.041  Vd_μ=0.687
  step  28000  ε=0.335  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=20  sps=46  Vd_max=1.043  Vd_μ=0.717
  step  30000  ε=0.287  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=20  sps=44  Vd_max=1.037  Vd_μ=0.706
  step  32000  ε=0.240  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=20  sps=46  Vd_max=1.046  Vd_μ=0.688
