
============================================================
  Ablation run: A1_no_graph
  Config overrides: {'NO_GRAPH': True}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]

  step  86000  ε=0.050  L_koop=0.0003  L_v=0.0035  L_recon=0.0000  succ/20=18  sps=109  Vd_max=nan  Vd_μ=nan
  step  88000  ε=0.050  L_koop=0.0003  L_v=0.0037  L_recon=0.0000  succ/20=19  sps=110  Vd_max=nan  Vd_μ=nan
  step  90000  ε=0.050  L_koop=0.0003  L_v=0.0039  L_recon=0.0000  succ/20=14  sps=106  Vd_max=nan  Vd_μ=nan
  step  92000  ε=0.050  L_koop=0.0003  L_v=0.0042  L_recon=0.0000  succ/20=14  sps=108  Vd_max=nan  Vd_μ=nan
  step  94000  ε=0.050  L_koop=0.0004  L_v=0.0044  L_recon=0.0000  succ/20=14  sps=108  Vd_max=nan  Vd_μ=nan
  step  96000  ε=0.050  L_koop=0.0004  L_v=0.0047  L_recon=0.0000  succ/20=17  sps=109  Vd_max=nan  Vd_μ=nan
  step  98000  ε=0.050  L_koop=0.0004  L_v=0.0048  L_recon=0.0000  succ/20=16  sps=106  Vd_max=nan  Vd_μ=nan
  step 100000  ε=0.050  L_koop=0.0004  L_v=0.0049  L_recon=0.0000  succ/20=19  sps=105  Vd_max=nan  Vd_μ=nan

Greedy evaluation (100 ep): success=64.0%  mean_steps=25.1

Saved → ablation_results/A1_no_graph.json
  succ_final=19/20  succ_50k=20/20  greedy=64.0%
