
============================================================
  Ablation run: K1_no_normalize
  Config overrides: {'NO_NORMALIZE': True}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step  82000  ε=0.050  L_koop=0.0015  L_v=0.0022  L_recon=0.0000  succ/20=0  sps=47  Vd_max=1.000  Vd_μ=0.197
  step  84000  ε=0.050  L_koop=0.0015  L_v=0.0023  L_recon=0.0000  succ/20=1  sps=45  Vd_max=1.000  Vd_μ=0.066
  step  86000  ε=0.050  L_koop=0.0017  L_v=0.0021  L_recon=0.0000  succ/20=3  sps=41  Vd_max=1.000  Vd_μ=0.245
  step  88000  ε=0.050  L_koop=0.0018  L_v=0.0032  L_recon=0.0000  succ/20=3  sps=46  Vd_max=1.000  Vd_μ=0.253
  step  90000  ε=0.050  L_koop=0.0018  L_v=0.0034  L_recon=0.0000  succ/20=1  sps=44  Vd_max=1.000  Vd_μ=0.091
  step  92000  ε=0.050  L_koop=0.0019  L_v=0.0020  L_recon=0.0000  succ/20=1  sps=42  Vd_max=1.000  Vd_μ=0.293
  step  94000  ε=0.050  L_koop=0.0019  L_v=0.0019  L_recon=0.0000  succ/20=2  sps=40  Vd_max=1.000  Vd_μ=0.187
  step  96000  ε=0.050  L_koop=0.0018  L_v=0.0011  L_recon=0.0000  succ/20=2  sps=46  Vd_max=1.000  Vd_μ=0.162
  step  98000  ε=0.050  L_koop=0.0017  L_v=0.0025  L_recon=0.0000  succ/20=1  sps=45  Vd_max=1.000  Vd_μ=0.115
  step 100000  ε=0.050  L_koop=0.0017  L_v=0.0027  L_recon=0.0000  succ/20=0  sps=57  Vd_max=1.000  Vd_μ=0.196

Greedy evaluation (100 ep): success=0.0%  mean_steps=nan

Saved → ablation_results/K1_no_normalize.json
  succ_final=0/20  succ_50k=0/20  greedy=0.0%
