
============================================================
  Ablation run: A2_td_plus_vi
  Config overrides: {'TD_PLUS_VI': True}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step  82000  ε=0.050  L_koop=0.0001  L_v=0.0007  L_recon=0.0000  succ/20=20  sps=89  Vd_max=1.000  Vd_μ=0.674
  step  84000  ε=0.050  L_koop=0.0001  L_v=0.0007  L_recon=0.0000  succ/20=20  sps=89  Vd_max=1.002  Vd_μ=0.681
  step  86000  ε=0.050  L_koop=0.0001  L_v=0.0006  L_recon=0.0000  succ/20=20  sps=93  Vd_max=1.000  Vd_μ=0.658
  step  88000  ε=0.050  L_koop=0.0001  L_v=0.0007  L_recon=0.0000  succ/20=20  sps=95  Vd_max=1.004  Vd_μ=0.717
  step  90000  ε=0.050  L_koop=0.0001  L_v=0.0006  L_recon=0.0000  succ/20=20  sps=94  Vd_max=1.000  Vd_μ=0.689
  step  92000  ε=0.050  L_koop=0.0001  L_v=0.0006  L_recon=0.0000  succ/20=20  sps=95  Vd_max=1.000  Vd_μ=0.700
  step  94000  ε=0.050  L_koop=0.0001  L_v=0.0006  L_recon=0.0000  succ/20=20  sps=95  Vd_max=1.000  Vd_μ=0.683
  step  96000  ε=0.050  L_koop=0.0001  L_v=0.0007  L_recon=0.0000  succ/20=20  sps=94  Vd_max=1.000  Vd_μ=0.698
  step  98000  ε=0.050  L_koop=0.0001  L_v=0.0006  L_recon=0.0000  succ/20=20  sps=94  Vd_max=1.000  Vd_μ=0.670
  step 100000  ε=0.050  L_koop=0.0001  L_v=0.0006  L_recon=0.0000  succ/20=20  sps=94  Vd_max=1.000  Vd_μ=0.658

Greedy evaluation (100 ep): success=100.0%  mean_steps=20.8

Saved → ablation_results/A2_td_plus_vi.json
  succ_final=20/20  succ_50k=20/20  greedy=100.0%
