
============================================================
  Ablation run: C1_no_recon
  Config overrides: {'LAMBDA_RECON': 0.0}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step  82000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.6153  succ/20=0  sps=92  Vd_max=1.028  Vd_μ=0.946
  step  84000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.6194  succ/20=0  sps=93  Vd_max=1.028  Vd_μ=0.961
  step  86000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.6238  succ/20=0  sps=91  Vd_max=1.028  Vd_μ=0.954
  step  88000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.6314  succ/20=0  sps=97  Vd_max=1.028  Vd_μ=0.979
  step  90000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.6393  succ/20=0  sps=98  Vd_max=1.029  Vd_μ=0.945
  step  92000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.6457  succ/20=0  sps=98  Vd_max=1.029  Vd_μ=0.947
  step  94000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.6480  succ/20=0  sps=98  Vd_max=1.031  Vd_μ=0.957
  step  96000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.6479  succ/20=0  sps=98  Vd_max=1.031  Vd_μ=0.959
  step  98000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.6451  succ/20=0  sps=97  Vd_max=1.033  Vd_μ=0.961
  step 100000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.6409  succ/20=0  sps=98  Vd_max=1.032  Vd_μ=0.965

Greedy evaluation (100 ep): success=1.0%  mean_steps=3.0

Saved → ablation_results/C1_no_recon.json
  succ_final=0/20  succ_50k=0/20  greedy=1.0%
